y,const,L,K,pop,edu,group,cl,Long,Lat
9.150987023,1,-7.940927853,-6.265517431,15.3777101,7.9,198,1,18.9963599,50.32545666
9.155748311,1,-7.785150467,-6.100622409,15.02207999,9.8,199,1,17.24689945,52.32765229
9.079400878,1,-7.890644459,-6.340283665,14.34472605,11.7,200,1,15.54985116,53.57893945
8.978091974,1,-7.839814833,-6.406063777,13.8237763,10.6,201,1,15.34076368,52.19062401
9.117696732,1,-8.050368396,-6.167693738,14.88520884,11.1,202,1,16.40937599,51.08575584
8.906904299,1,-8.057503853,-6.470330753,13.88559617,10.8,203,1,17.89810348,50.64799241
8.980027723,1,-7.732827896,-6.510033197,14.54267262,10.3,204,1,18.49384119,53.06876944
8.835254766,1,-8.031011076,-6.694178211,14.17003319,10.3,205,1,20.82822449,53.85927707
9.077740065,1,-8.041570722,-6.193763909,14.58954624,12.9,206,1,17.96971372,54.1496579
8.969490069,1,-7.767851556,-6.464073802,14.78333056,12,207,1,19.4117601,51.6053155
8.841406917,1,-7.958750759,-6.62677571,14.08056351,9.6,208,1,20.76733353,50.76333514
8.755873673,1,-7.760258054,-6.769872101,14.60737121,11.5,209,1,22.90410204,51.21891019
8.771230749,1,-7.944443322,-6.772919159,14.55773358,10.2,210,1,22.17692242,49.95620464
8.782548629,1,-7.93656281,-6.675700662,14.00736982,12.3,211,1,22.92619452,53.25889641
9.867254743,1,-7.869661789,-4.951040084,14.81665701,48,212,1,21.12774265,52.24205007
8.855063136,1,-7.763884208,-6.194159605,14.68680392,20.4,213,1,21.08923132,52.36018135
9.44029214,1,-7.646307678,-5.800166137,15.11459261,6.8,214,1,-7.68287192,41.45555984
9.694360083,1,-7.589559603,-5.230426793,12.87190002,6,215,1,-8.132899911,37.24236331
9.495493122,1,-7.614197216,-5.577339802,14.66424168,7,216,1,-7.997876975,40.12705627
10.02701908,1,-7.581435243,-5.093510206,14.7855771,14.3,217,1,-9.045012554,38.73096371
9.585032854,1,-7.701786494,-5.372644205,13.5611472,7.3,218,1,-8.01167745,38.48687436
9.436563757,1,-7.720481191,-5.360368421,12.39284263,5.8,219,1,-27.34788902,38.39114423
9.550066463,1,-7.550176084,-4.69218679,12.40283115,3.6,220,1,-16.83110762,32.53033748
8.374825311,1,-7.687105472,-7.23779489,14.86075723,8.8,221,1,23.34484117,47.22329392
8.516479895,1,-7.824604414,-6.979392842,14.78712246,8.3,222,1,24.80923568,46.1915984
8.120211417,1,-7.459900675,-7.696934752,15.15667679,6.8,223,1,26.69111262,47.09715964
8.383303789,1,-7.699063813,-7.408729107,14.8919454,8.8,224,1,27.82912607,45.12271287
8.273129212,1,-7.626725772,-7.353844907,15.05830977,6.5,225,1,25.89249307,44.61138694
9.275283678,1,-7.768312334,-5.679723972,14.64174528,20.1,226,1,26.14335232,44.51560939
8.281220806,1,-7.504055454,-7.60090246,14.69089596,7.8,227,1,23.67273535,44.59668727
8.519017902,1,-7.723436623,-7.147079644,14.52904843,10.6,228,1,21.99290884,45.71595963
10.45949021,1,-7.448261057,-4.890772445,14.41050452,38.7,229,1,18.19803196,59.45300386
9.953130089,1,-7.697286321,-5.29569706,14.21495759,28,230,1,16.13474355,59.21581019
9.984070311,1,-7.621156316,-5.30744916,13.58986388,20,231,1,15.38577967,57.24180453
10.02010299,1,-7.680692202,-5.323948009,14.06081474,29.2,232,1,13.95381494,56.02856291
10.06551081,1,-7.665225831,-5.237894348,14.38423899,30.2,233,1,12.82004562,58.08448882
9.931547645,1,-7.743542792,-5.519776708,13.635187,23.5,234,1,14.51051652,60.72957874
9.992304838,1,-7.695154998,-5.296483071,12.84264947,24,235,1,15.19286091,63.20023496
9.941513595,1,-7.731930722,-5.264260661,13.14803112,30.2,236,1,19.25602705,66.19505255
9.443878221,1,-7.728023695,-5.733540679,13.905013,19.5,237,1,15.26332556,46.1580317
9.785838751,1,-7.6342052,-5.268414825,13.7054278,28.7,238,1,14.13008285,46.06901267
9.967155234,1,-7.439010823,-5.234310682,13.33283498,26.1,239,1,17.1766244,48.32091811
9.076339386,1,-7.937157192,-6.118187146,14.44444983,7.9,240,1,18.06863152,48.40911404
8.946760722,1,-7.92701851,-6.144940732,14.11976947,8.9,241,1,19.36374336,48.79522354
8.861351356,1,-8.034942341,-6.259424919,14.25527403,7.8,242,1,21.24796259,48.93983131
10.22976232,1,-7.769343389,-4.868504947,12.60045321,31.4,1,1,16.52265521,47.54309288
10.41080909,1,-7.734260249,-4.72818993,14.3432051,33.9,2,1,15.76264836,48.26729816
10.73384246,1,-7.491148931,-4.418717429,14.46982855,44.5,3,2,16.39072025,48.21630135
10.45967789,1,-7.65411124,-4.672168362,13.2413599,33.6,4,1,13.92775315,46.77610657
10.48442738,1,-7.571978276,-4.637522305,14.03807634,30.2,5,1,15.00674362,47.26763331
10.60649901,1,-7.554972725,-4.556451673,14.22100033,30.5,6,2,13.96357749,48.13609575
10.73957297,1,-7.492669465,-4.396640627,13.23823347,33.6,7,2,13.07719874,47.39259506
10.57955278,1,-7.541300889,-4.501061887,13.54318595,31.4,8,1,11.49895708,47.20135756
10.70960887,1,-7.613807648,-4.566074332,12.90040662,28.6,9,2,9.890525684,47.23625188
11.0993141,1,-7.445618045,-4.350134999,14.02180902,52.2,10,2,4.379035941,50.83438819
10.75328589,1,-7.679729761,-4.48270677,14.44983087,43.5,11,2,4.718656466,51.23187323
10.37980085,1,-7.785381344,-4.774626787,13.69482206,39.2,12,1,5.429025263,50.98787248
10.49784393,1,-7.759512359,-4.652489304,14.24750075,50,13,1,3.804713395,51.03496781
10.59043429,1,-7.770932646,-4.548278082,13.97184742,53.2,14,2,4.586244572,50.87486281
10.56892186,1,-7.686486114,-4.504319165,14.00473325,39.5,15,1,3.053241859,51.01042158
10.74489566,1,-7.768180675,-4.223038669,12.92320487,59.7,16,2,4.604147742,50.67001538
10.10774517,1,-7.995933688,-5.285344105,14.11776839,33.5,17,1,3.974202082,50.47054653
10.23885497,1,-7.904258357,-5.133001892,13.92455329,42.4,18,1,5.737503587,50.51732663
10.09279494,1,-7.968551451,-5.149732723,12.58861025,44.6,19,1,5.517753485,49.9540737
10.17712637,1,-7.927172244,-5.159392944,13.12677364,42.8,20,1,4.85586941,50.24739613
9.458652283,1,-7.850783664,-6.562824842,13.47508994,19.7,21,1,23.86282106,43.4207762
9.458504399,1,-7.711858561,-6.298689757,13.53824208,26.8,22,1,26.06872059,43.47204111
9.548164547,1,-7.719820858,-6.106737794,13.72978817,25.7,23,1,27.33817139,43.37550076
9.59216325,1,-7.692259818,-6.101299359,13.83063461,22.8,24,1,26.54889754,42.47421281
10.35041392,1,-7.367625743,-5.206126825,14.54688036,43.4,25,1,23.34293333,42.31428591
9.418471187,1,-7.658665568,-6.166076707,14.15014754,22.6,26,1,25.03108882,41.93800341
10.27828294,1,-7.611655912,-5.174302148,13.71053886,47,27,1,33.22363419,35.05105624
11.08715926,1,-7.224543781,-3.941092169,14.09770762,49.8,28,2,14.46482815,50.06675463
10.14860732,1,-7.731183896,-4.724782877,14.14628086,25.6,29,1,14.55768074,50.00451069
10.112865,1,-7.623039718,-5.167004759,14.02661392,21.6,30,1,13.92312755,49.31057361
9.886731599,1,-7.740511677,-5.353997605,13.92259658,15.1,31,1,13.42654179,50.3933735
10.09593776,1,-7.657202377,-5.244174308,14.23227822,20.9,32,1,15.77905416,50.28257513
10.22048101,1,-7.605631824,-5.051038885,14.34851246,27.7,33,1,16.1744429,49.24179622
10.09357847,1,-7.64561206,-5.194529676,14.00864016,24.5,34,1,17.43335461,49.53721239
10.06204587,1,-7.68907876,-5.296691328,13.99535405,22.5,35,1,17.98830687,49.82179363
10.80935274,1,-7.449202579,-4.440520569,15.23886416,35.2,36,2,9.616458213,49.02487599
10.65389863,1,-7.481666293,-4.659802069,14.84871177,34,37,2,8.673554751,49.01400664
10.51942557,1,-7.513720708,-4.73968206,14.64014554,33.5,38,1,8.224015427,48.02433327
10.65626895,1,-7.470819504,-4.555236115,14.44238491,32.9,39,2,9.497238384,48.13213121
10.94249231,1,-7.385198294,-4.168382639,15.36827335,43.1,40,2,11.7519118,48.10479959
10.54771088,1,-7.512195789,-4.730164843,14.03885169,27.4,41,1,12.78554119,48.70395818
10.63038858,1,-7.439464419,-4.586262583,13.92391643,31.2,42,2,12.12534966,49.3909256
10.51706113,1,-7.499879862,-4.835787276,13.87568802,30.7,43,1,11.37573992,50.0541164
10.68217508,1,-7.432374887,-4.542915158,14.3901101,32.8,44,2,10.78742398,49.35052932
10.56844596,1,-7.48774762,-4.840608353,14.0923958,30.8,45,1,9.948031318,50.01102043
10.54460374,1,-7.515259927,-4.673937543,14.46361958,30.4,46,1,10.51944066,48.16468984
10.6008026,1,-7.471196364,-4.854429011,15.11591473,46.7,47,2,13.39925744,52.49252133
